Biomename,Udvardy ,Perimeter,Provname,Biome,Realm,Realmprov,Udvardy,Area,Province,latitude,longitude
Mixed island systems,1680.0,0.153,Central Polynesian,13,5.0,505,1065.0,0.001,05,-18.9560327529907,-178.949783325195
Tropical dry forests / Woodlands,837.0,0.312,Sinaloan,04,8.0,813,669.0,0.001,13,28.6446800231934,-112.819152832031
Mixed island systems,1403.0,0.175,Papuan,13,5.0,501,1367.0,0.001,01,-3.47041702270508,153.226295471191
Mixed island systems,1400.0,0.184,Papuan,13,5.0,501,1367.0,0.001,01,-3.38833355903625,153.305648803711
Mixed island systems,1499.0,0.177,Papuan,13,5.0,501,1378.0,0.001,01,-8.08347511291504,156.815940856934
Warm deserts / semi-deserts,925.0,0.177,Thar Desert,07,4.0,415,847.0,0.001,15,22.4511919021606,69.1293334960938
Sub-tropical / Temperate rain forests / Woodlands,1857.0,0.15,Neozealandia,02,7.0,701,1659.0,0.001,01,-46.7770538330078,167.688705444336
Warm deserts / semi-deserts,854.0,0.187,Sahara,07,2.0,218,829.0,0.001,18,27.2237548828125,33.9317188262939
Cold-winter deserts,853.0,0.199,Anatolian-Iranian Desert,08,2.0,220,828.0,0.001,20,27.251392364502,49.5095901489258
Temperate grasslands,840.0,0.285,Grasslands,11,1.0,118,670.0,0.001,18,28.4374618530273,-96.3040924072266
Warm deserts / semi-deserts,922.0,0.18,Thar Desert,07,4.0,415,846.0,0.001,15,22.5356245040894,69.9048767089844
Tropical humid forests,1161.0,0.133,Panamanian,01,8.0,802,790.0,0.001,02,8.78876209259033,-78.7862434387207
Cold-winter deserts,852.0,0.264,Anatolian-Iranian Desert,08,2.0,220,827.0,0.001,20,27.3397207260132,49.5794544219971
Mixed island systems,1686.0,0.179,East Melanesian,13,5.0,507,1411.0,0.001,07,-19.1600046157837,179.779151916504
Mixed island systems,1534.0,0.184,Papuan,13,5.0,501,1392.0,0.001,01,-8.98375225067139,160.094139099121
Mixed island systems,1104.0,0.177,Philippines,13,4.0,426,1860.0,0.001,26,11.1604857444763,119.590351104736
Mixed island systems,1308.0,0.148,Micronesian,13,5.0,502,1362.0,0.001,02,-0.522777915000916,166.924652099609
Mixed island systems,1601.0,0.134,East Melanesian,13,5.0,507,1404.0,0.001,07,-13.4302797317505,166.675910949707
Mixed island systems,1108.0,0.158,Philippines,13,4.0,426,1862.0,0.001,26,10.9903597831726,119.280780792236
Mixed island systems,1689.0,0.159,Central Polynesian,13,5.0,505,1068.0,0.001,05,-19.7157173156738,-174.277847290039
Tropical humid forests,1135.0,0.247,Indochinese Rainforest,01,4.0,405,907.0,0.001,05,10.1244478225708,106.229278564453
Warm deserts / semi-deserts,1331.0,0.24,Chihuahuan,07,1.0,109,1363.0,0.001,09,-1.20930600166321,174.755500793457
Mixed island systems,1692.0,0.162,New Caledonian,13,5.0,506,1414.0,0.001,06,-20.0326404571533,163.96174621582
Tropical humid forests,1691.0,0.158,Queensland Coastal,01,6.0,601,1992.0,0.001,01,-20.0080604553223,148.462844848633
Mixed island systems,1355.0,0.14,Papuan,13,5.0,501,1192.0,0.001,01,-1.71319448947906,142.84024810791
Mixed island systems,1541.0,0.156,Papuan,13,5.0,501,1392.0,0.001,01,-9.14166975021362,159.825248718262
Mixed island systems,1599.0,0.18,East Melanesian,13,5.0,507,1404.0,0.002,07,-13.2438950538635,166.605949401855
Tropical humid forests,1353.0,0.214,Madeiran,01,8.0,806,1102.0,0.002,06,-1.67930501699448,-49.385835647583
Warm deserts / semi-deserts,1344.0,0.366,Tamaulipan,07,1.0,110,1364.0,0.002,10,-1.49569445848465,175.032997131348
Tropical humid forests,1367.0,0.307,Madeiran,01,8.0,806,1107.0,0.002,06,-2.18362736701965,-49.3589000701904
Mixed mountain systems,502.0,0.222,Scottish Highlands,12,2.0,231,493.0,0.002,31,57.3000774383545,-5.97128653526306
Tropical dry forests / Woodlands,1375.0,0.219,Equadorian Dry Forest,04,8.0,819,1085.0,0.002,19,-2.4502055644989,-79.8245697021484
Mixed island systems,917.0,0.268,Cuban,13,8.0,839,713.0,0.002,39,22.6521978378296,-79.0286560058594
Mixed mountain systems,528.0,0.176,Scottish Highlands,12,2.0,231,500.0,0.002,31,56.2924900054932,-5.61587715148926
Mixed island systems,918.0,0.321,Bahamas-Bermudean,13,8.0,838,714.0,0.002,38,22.6027641296387,-74.3350448608398
Tropical humid forests,1130.0,0.163,Indochinese Rainforest,01,4.0,405,903.0,0.002,05,10.4529495239258,107.089027404785
Tropical dry forests / Woodlands,1389.0,0.184,Equadorian Dry Forest,04,8.0,819,1088.0,0.002,19,-2.87116408348083,-80.0725059509277
Tropical dry forests / Woodlands,1113.0,0.223,West African Woodland/Savanna,04,3.0,304,822.0,0.002,04,10.873827457428,-14.9468493461609
Tropical dry forests / Woodlands,1138.0,0.219,Central American,04,8.0,816,785.0,0.002,16,10.0960259437561,-85.1470642089844
Mixed island systems,1696.0,0.247,New Caledonian,13,5.0,506,1415.0,0.002,06,-20.1144495010376,164.19214630127
Mixed island systems,1106.0,0.21,Philippines,13,4.0,426,1861.0,0.002,26,11.0609078407288,119.597198486328
Warm deserts / semi-deserts,921.0,0.169,Thar Desert,07,4.0,415,845.0,0.002,15,22.5690994262695,69.999755859375
Mixed island systems,1306.0,0.17,Galapagos Islands,13,8.0,844,1935.0,0.002,44,-0.451372712850571,-90.2816772460938
Temperate broad-leaf forests,559.0,0.191,British Islands,05,2.0,208,509.0,0.002,08,54.9857368469238,-8.51890897750854
Mixed island systems,1684.0,0.186,Central Polynesian,13,5.0,505,1067.0,0.002,05,-19.1457443237305,-178.562545776367
Mixed island systems,1268.0,0.505,Micronesian,13,5.0,502,1047.0,0.002,02,0.922360837459564,173.037147521973
Sub-tropical / Temperate rain forests / Woodlands,1856.0,0.193,Neozealandia,02,7.0,701,1658.0,0.002,01,-46.7712650299072,168.574546813965
Mixed island systems,856.0,0.181,Micronesian,13,5.0,502,963.0,0.002,02,27.0614061355591,142.206977844238
Mixed island systems,1592.0,0.239,East Melanesian,13,5.0,507,1411.0,0.002,07,-12.5012550354004,177.068298339844
Temperate needle-leaf forests / Woodlands,566.0,0.206,East Siberian Taiga,03,2.0,204,600.0,0.002,04,54.718111038208,138.209022521973
Warm deserts / semi-deserts,926.0,0.171,Thar Desert,07,4.0,415,848.0,0.002,15,22.4379968643188,69.6383628845215
Mixed island systems,1402.0,0.248,Papuan,13,5.0,501,1217.0,0.002,01,-3.46059656143188,132.68465423584
Mixed island systems,1607.0,0.207,East Melanesian,13,5.0,507,1404.0,0.002,07,-13.6549997329712,167.68359375
Temperate needle-leaf forests / Woodlands,474.0,0.225,West Eurasian Taiga,03,2.0,203,1769.0,0.002,03,59.1636257171631,5.7846097946167
Tropical dry forests / Woodlands,1612.0,0.232,Northern Coastal,04,6.0,603,1341.0,0.002,03,-13.8908348083496,126.557201385498
Mixed island systems,1407.0,0.205,Sulawesi (Celebes),13,4.0,424,1218.0,0.002,24,-3.54872000217438,122.323600769043
Temperate broad-leaf forests,790.0,0.201,Austroriparian,05,1.0,106,481.0,0.002,06,33.8793754577637,-77.9820365905762
Temperate broad-leaf forests,465.0,0.176,Boreonemoral,05,2.0,210,1760.0,0.002,10,59.3283195495605,17.8375787734985
Mixed island systems,1410.0,0.201,Papuan,13,5.0,501,1222.0,0.002,01,-3.67708396911621,128.775245666504
Mixed island systems,1168.0,0.207,Philippines,13,4.0,426,910.0,0.002,26,8.28877258300781,117.212451934814
Mixed island systems,1257.0,0.404,Micronesian,13,5.0,502,1046.0,0.002,02,1.79861098527908,173.002197265625
Mixed island systems,1253.0,0.188,Sumatra,13,4.0,421,950.0,0.002,21,2.09500002861023,96.6347732543945
Mixed island systems,1679.0,0.198,East Melanesian,13,5.0,507,1411.0,0.002,07,-18.8932008743286,178.501609802246
Mixed island systems,1247.0,0.194,Papuan,13,5.0,501,1038.0,0.002,01,2.23666596412659,127.780799865723
Mixed island systems,1417.0,0.21,Southeastern Polynesian,13,5.0,504,1048.0,0.002,04,-4.06710124015808,-154.981079101562
Tropical dry forests / Woodlands,1705.0,0.171,South African Woodland/Savanna,04,3.0,308,1144.0,0.002,08,-20.6790084838867,34.9278430938721
Mixed island systems,864.0,0.237,Micronesian,13,5.0,502,964.0,0.002,02,26.6612720489502,142.158782958984
Warm deserts / semi-deserts,940.0,0.196,Thar Desert,07,4.0,415,851.0,0.002,15,21.8451375961304,72.2379531860352
Mixed island systems,1171.0,0.171,Philippines,13,4.0,426,912.0,0.002,26,8.10836362838745,117.027488708496
Mixed island systems,988.0,0.216,Greater Antillean,13,8.0,840,739.0,0.002,40,18.6043186187744,-73.7523078918457
Mixed island systems,1422.0,0.211,Seychelles and Amirantes Islands,13,4.0,416,1135.0,0.002,16,-4.31715989112854,55.7819671630859
Mixed island systems,1424.0,0.257,Papuan,13,5.0,501,1237.0,0.002,01,-4.48680639266968,131.642700195312
Temperate broad-leaf forests,588.0,0.318,Atlantic,05,2.0,209,549.0,0.002,09,53.7385272979736,7.54752564430237
Temperate broad-leaf forests,589.0,0.383,Atlantic,05,2.0,209,550.0,0.002,09,53.7060375213623,7.24600434303284
Tropical dry forests / Woodlands,1091.0,0.223,Venezuelan Dry Forest,04,8.0,817,779.0,0.002,17,11.7895035743713,-66.6261024475098
Temperate broad-leaf forests,592.0,0.3,Atlantic,05,2.0,209,551.0,0.002,09,53.5827293395996,6.72824048995972
Temperate needle-leaf forests / Woodlands,593.0,0.32,East Siberian Taiga,03,2.0,204,605.0,0.002,04,53.5576572418213,142.386695861816
Temperate broad-leaf forests,596.0,0.425,Atlantic,05,2.0,209,552.0,0.002,09,53.4802398681641,6.22643351554871
Mixed island systems,1674.0,0.212,East Melanesian,13,5.0,507,1411.0,0.002,07,-18.5411195755005,177.635101318359
Temperate broad-leaf forests,603.0,0.209,British Islands,05,2.0,208,514.0,0.002,08,53.2447490692139,-9.68723011016846
Mixed island systems,894.0,0.177,Taiwan,13,4.0,427,970.0,0.002,27,24.4524450302124,122.980838775635
Mixed island systems,1673.0,0.168,East Melanesian,13,5.0,507,1411.0,0.002,07,-18.3818101882935,178.134696960449
Mixed island systems,1434.0,0.17,Papuan,13,5.0,501,1969.0,0.002,01,-4.89597344398499,149.150100708008
Sub-tropical / Temperate rain forests / Woodlands,782.0,0.226,Japanese Evergreen Forest,02,2.0,202,628.0,0.002,02,34.3688068389893,139.275588989258
Tropical dry forests / Woodlands,1585.0,0.237,Northern Coastal,04,6.0,603,1330.0,0.002,03,-11.6841702461243,136.007751464844
Mixed island systems,1661.0,0.178,East Melanesian,13,5.0,507,1411.0,0.002,07,-17.2794504165649,177.120895385742
Mixed island systems,1447.0,0.202,Papuan,13,5.0,501,1250.0,0.002,01,-5.54722332954407,132.339248657227
Mixed island systems,1003.0,0.197,Lesser Antillean,13,8.0,841,752.0,0.002,41,17.9033946990967,-62.8300819396973
Temperate broad-leaf forests,652.0,0.213,British Islands,05,2.0,208,1783.0,0.002,08,50.8015117645264,-0.979573547840118
Mixed island systems,949.0,0.42,Cuban,13,8.0,839,725.0,0.002,39,21.6545743942261,-81.4735145568848
Temperate broad-leaf forests,621.0,0.223,Kamchatkan,05,2.0,207,648.0,0.002,07,52.3516235351562,175.93359375
Mixed island systems,873.0,0.172,Ryukyu Islands,13,2.0,241,967.0,0.002,41,25.8426561355591,131.240264892578
Mixed island systems,994.0,0.181,Revilla Gigedo Island,13,8.0,842,693.0,0.002,42,18.3354568481445,-114.760078430176
Tropical humid forests,1724.0,0.218,Queensland Coastal,01,6.0,601,1999.0,0.002,01,-22.3852796554565,149.736198425293
Temperate broad-leaf forests,717.0,0.212,Manchu-Japanese Mixed Forest,05,2.0,214,612.0,0.002,14,42.84059715271,132.431137084961
Mixed island systems,1179.0,0.191,Micronesian,13,5.0,502,1043.0,0.002,02,7.37060880661011,151.612030029297
Mixed island systems,1656.0,0.191,Southeastern Polynesian,13,5.0,504,1986.0,0.002,04,-16.7936305999756,-151.004318237305
Sub-tropical / Temperate rain forests / Woodlands,1792.0,0.241,Tasmanian,02,6.0,602,2013.0,0.002,02,-42.32639503479,148.286903381348
Mixed island systems,1071.0,0.233,Lesser Antillean,13,8.0,841,771.0,0.002,41,12.4918375015259,-61.4601173400879
Mixed island systems,1203.0,0.195,Sumatra,13,4.0,421,927.0,0.002,21,5.62680435180664,95.1448097229004
Tropical humid forests,1067.0,0.255,Indochinese Rainforest,01,4.0,405,885.0,0.002,05,12.5887441635132,109.372753143311
Mixed island systems,992.0,0.22,Lesser Antillean,13,8.0,841,741.0,0.002,41,18.3444814682007,-64.7406425476074
Mixed island systems,1725.0,0.203,New Caledonian,13,5.0,506,1425.0,0.002,06,-22.4330654144287,166.808700561523
Mixed island systems,1481.0,0.311,Papuan,13,5.0,501,1375.0,0.002,01,-7.51014018058777,158.331604003906
Tropical humid forests,1731.0,0.273,Queensland Coastal,01,6.0,601,1428.0,0.002,01,-23.8197250366211,151.353698730469
Mixed island systems,1732.0,0.205,Southeastern Polynesian,13,5.0,504,1083.0,0.002,04,-24.3652486801147,-128.309288024902
Mixed island systems,1650.0,0.221,East Melanesian,13,5.0,507,1404.0,0.002,07,-16.4726448059082,168.228157043457
Mixed island systems,887.0,0.209,Micronesian,13,5.0,502,968.0,0.002,02,24.7563209533691,141.320999145508
Mixed island systems,1192.0,0.171,Philippines,13,4.0,426,1024.0,0.002,26,6.92492747306824,125.692729949951
Temperate broad-leaf forests,638.0,0.206,British Islands,05,2.0,208,516.0,0.002,08,51.8623504638672,-8.26420402526855
Tundra communities,2005.0,0.16,Insulantarctica,09,7.0,704,1637.0,0.002,04,-56.3442859649658,-27.7025146484375
Tropical dry forests / Woodlands,1638.0,0.237,Northern Coastal,04,6.0,603,1353.0,0.002,03,-15.5701398849487,136.857200622559
Evergreen Sclerophyllous forests,1735.0,0.483,Western Sclerophyll,06,6.0,604,1186.0,0.002,04,-25.1523694992065,113.078548431396
Temperate needle-leaf forests / Woodlands,366.0,0.204,West Eurasian Taiga,03,2.0,203,207.0,0.002,03,63.7731227874756,20.8818759918213
Mixed island systems,800.0,0.231,Macaronesian Islands,13,2.0,240,529.0,0.002,40,33.0817584991455,-16.3238277435303
Mixed island systems,965.0,0.259,Cuban,13,8.0,839,730.0,0.002,39,20.8657817840576,-79.0235252380371
Sub-tropical / Temperate rain forests / Woodlands,1765.0,0.184,Neozealandia,02,7.0,701,1649.0,0.002,01,-36.6013946533203,175.805648803711
Sub-tropical / Temperate rain forests / Woodlands,1764.0,0.192,Neozealandia,02,7.0,701,1650.0,0.002,01,-36.423210144043,174.880645751953
Temperate broad-leaf forests,362.0,0.697,Icelandian,05,2.0,205,140.0,0.002,05,64.2328147888184,-15.3672704696655
Warm deserts / semi-deserts,971.0,0.433,Arabian Desert,07,2.0,219,836.0,0.002,19,20.2282705307007,40.1128253936768
Sub-tropical / Temperate rain forests / Woodlands,1763.0,0.189,Neozealandia,02,7.0,701,1650.0,0.002,01,-36.19846534729,175.117195129395
Temperate broad-leaf forests,642.0,0.281,Kamchatkan,05,2.0,207,653.0,0.002,07,51.7922191619873,178.311508178711
Mixed island systems,1025.0,0.212,Micronesian,13,5.0,502,977.0,0.002,02,16.3568344116211,145.667900085449
Mixed island systems,1557.0,0.201,Papuan,13,5.0,501,1396.0,0.002,01,-10.2527799606323,161.742454528809
Mixed island systems,966.0,0.238,Cuban,13,8.0,839,731.0,0.002,39,20.8082895278931,-78.913948059082
Warm deserts / semi-deserts,1539.0,0.209,Somalian,07,3.0,314,1138.0,0.002,14,-9.09068822860718,39.607234954834
Mixed island systems,1017.0,0.227,Macaronesian Islands,13,2.0,240,816.0,0.002,40,16.7849922180176,-24.8068895339966
Mixed island systems,1431.0,0.214,Borneo,13,4.0,425,1160.0,0.002,25,-4.79744791984558,115.811645507812
Mixed island systems,1430.0,0.335,Papuan,13,5.0,501,1969.0,0.003,01,-4.68430709838867,149.507202148438
Tundra communities,190.0,0.349,Higharctic Tundra,09,2.0,226,336.0,0.003,26,73.6708221435547,123.772880554199
Mixed island systems,1750.0,0.262,Central Polynesian,13,5.0,505,1073.0,0.003,05,-29.2584590911865,-177.89990234375
Mixed island systems,1538.0,0.254,Papuan,13,5.0,501,1392.0,0.003,01,-9.09000301361084,159.198852539062
Temperate needle-leaf forests / Woodlands,360.0,0.269,West Eurasian Taiga,03,2.0,203,204.0,0.003,03,64.5761260986328,11.4261059761047
Tropical dry forests / Woodlands,1738.0,0.252,South African Woodland/Savanna,04,3.0,308,1150.0,0.003,08,-26.045708656311,32.957426071167
Mixed island systems,963.0,0.36,Cuban,13,8.0,839,729.0,0.003,39,20.9590997695923,-79.1564483642578
Tropical humid forests,1562.0,0.217,Queensland Coastal,01,6.0,601,1322.0,0.003,01,-10.6109747886658,142.27954864502
Tropical dry forests / Woodlands,1033.0,0.229,Mahanadian,04,4.0,411,857.0,0.003,11,15.7528343200684,80.8831062316895
Temperate needle-leaf forests / Woodlands,376.0,0.287,West Eurasian Taiga,03,2.0,203,212.0,0.003,03,63.3216133117676,21.3164653778076
Mixed island systems,1496.0,0.231,Southeastern Polynesian,13,5.0,504,1074.0,0.003,04,-8.00462198257446,-140.689056396484
Mixed island systems,1064.0,0.223,Philippines,13,4.0,426,990.0,0.003,26,12.6444759368896,125.06229019165
Mixed island systems,1482.0,0.275,Papuan,13,5.0,501,1283.0,0.003,01,-7.52417993545532,130.903999328613
Tropical humid forests,1569.0,0.393,Serro Do Mar,01,8.0,807,1115.0,0.003,07,-11.0389685630798,-37.0837459564209
Mixed island systems,1573.0,0.301,Papuan,13,5.0,501,1397.0,0.003,01,-11.2318048477173,153.191452026367
Evergreen Sclerophyllous forests,726.0,0.372,Mediterranean Sclerophyll,06,2.0,217,566.0,0.003,17,41.0522003173828,8.27479887008667
Mixed island systems,1476.0,0.226,Papuan,13,5.0,501,1280.0,0.003,01,-7.33866739273071,131.260353088379
Mixed island systems,1081.0,0.236,Andaman and Nicobar Islands,13,4.0,420,889.0,0.003,20,12.1411581039429,93.0845069885254
Temperate needle-leaf forests / Woodlands,418.0,0.269,West Eurasian Taiga,03,2.0,203,228.0,0.003,03,61.3339309692383,4.90781259536743
Mixed island systems,1639.0,0.215,Central Polynesian,13,5.0,505,1057.0,0.003,05,-15.5921530723572,-175.645835876465
Mixed island systems,1006.0,0.229,Greater Antillean,13,8.0,840,756.0,0.003,40,17.5771684646606,-71.5007820129395
Tropical humid forests,1722.0,0.337,Queensland Coastal,01,6.0,601,1998.0,0.003,01,-22.152364730835,149.906745910645
Tropical dry forests / Woodlands,1720.0,0.257,South African Woodland/Savanna,04,3.0,308,1148.0,0.003,08,-21.8980569839478,35.4538745880127
Mixed island systems,1451.0,0.23,Sumatra,13,4.0,421,1165.0,0.003,21,-5.78451538085938,104.811798095703
Temperate needle-leaf forests / Woodlands,421.0,0.24,West Eurasian Taiga,03,2.0,203,1716.0,0.003,03,60.8860321044922,4.96767783164978
Temperate broad-leaf forests,712.0,0.483,Manchu-Japanese Mixed Forest,05,2.0,214,610.0,0.003,14,43.559061050415,145.279609680176
Mixed island systems,1440.0,0.221,Papuan,13,5.0,501,1969.0,0.003,01,-5.32013988494873,147.602149963379
Sub-tropical / Temperate rain forests / Woodlands,1749.0,0.243,Neozealandia,02,7.0,701,2007.0,0.003,01,-29.0391702651978,167.950798034668
Tropical dry forests / Woodlands,1090.0,0.233,Venezuelan Dry Forest,04,8.0,817,778.0,0.003,17,11.7976913452148,-66.147346496582
Mixed island systems,1002.0,0.281,Greater Antillean,13,8.0,840,746.0,0.003,40,18.0735330581665,-73.6421508789062
Sub-tropical / Temperate rain forests / Woodlands,1811.0,0.278,Valdivian Forest,02,8.0,810,1458.0,0.003,10,-44.3420276641846,-73.065616607666
Mixed mountain systems,444.0,0.256,Scottish Highlands,12,2.0,231,1739.0,0.003,31,60.3523025512695,-0.965821981430054
Tropical dry forests / Woodlands,1590.0,0.228,Northern Coastal,04,6.0,603,1337.0,0.003,03,-12.0820903778076,134.889801025391
Temperate broad-leaf forests,446.0,0.267,Boreonemoral,05,2.0,210,1741.0,0.003,10,60.259952545166,25.6169939041138
Mixed island systems,933.0,0.265,Taiwan,13,4.0,427,973.0,0.003,27,22.040114402771,121.535480499268
Warm deserts / semi-deserts,982.0,0.28,Eastern Sahel,07,3.0,313,837.0,0.003,13,18.8561725616455,37.6471786499023
